country,co2_emmission_all,food_category,consumption,co2_emmission
Bulgaria,560.16,Pork,26.26,92.95
Bulgaria,560.16,Poultry,20.68,22.21
Bulgaria,560.16,Beef,3.84,118.49
Bulgaria,560.16,Lamb & Goat,1.63,57.08
Bulgaria,560.16,Fish,6.24,9.96
Bulgaria,560.16,Eggs,8.360000000000001,7.68
Bulgaria,560.16,Milk - inc. cheese,155.70999999999998,221.79
Bulgaria,560.16,Wheat and Wheat Products,121.17,23.110000000000003
Bulgaria,560.16,Rice,2.24,2.87
Bulgaria,560.16,Soybeans,0.04,0.02
Bulgaria,560.16,Nuts inc. Peanut Butter,2.26,4.0
Cambodia,452.41,Pork,6.52,23.08
Cambodia,452.41,Poultry,1.84,1.98
Cambodia,452.41,Beef,4.85,149.66
Cambodia,452.41,Lamb & Goat,0.0,0.0
Cambodia,452.41,Fish,39.59,63.21
Cambodia,452.41,Eggs,1.37,1.26
Cambodia,452.41,Milk - inc. cheese,3.47,4.94
Cambodia,452.41,Wheat and Wheat Products,2.74,0.52
Cambodia,452.41,Rice,159.1,203.6
Cambodia,452.41,Soybeans,4.33,1.95
Cambodia,452.41,Nuts inc. Peanut Butter,1.25,2.21
Cameroon,283.61,Pork,1.47,5.2
Cameroon,283.61,Poultry,3.29,3.53
Cameroon,283.61,Beef,4.17,128.68
Cameroon,283.61,Lamb & Goat,1.4,49.03
Cameroon,283.61,Fish,14.71,23.49
Cameroon,283.61,Eggs,0.4,0.37
Cameroon,283.61,Milk - inc. cheese,15.27,21.75
Cameroon,283.61,Wheat and Wheat Products,22.6,4.31
Cameroon,283.61,Rice,23.85,30.52
Cameroon,283.61,Soybeans,0.64,0.29
Cameroon,283.61,Nuts inc. Peanut Butter,9.29,16.439999999999998
Canada,1437.16,Pork,22.81,80.74000000000001
Canada,1437.16,Poultry,36.68,39.4
Canada,1437.16,Beef,30.25,933.45
Canada,1437.16,Lamb & Goat,0.97,33.97
Canada,1437.16,Fish,14.56,23.25
Canada,1437.16,Eggs,12.95,11.9
Canada,1437.16,Milk - inc. cheese,187.77,267.46
Canada,1437.16,Wheat and Wheat Products,84.96000000000001,16.2
Canada,1437.16,Rice,12.65,16.19
Canada,1437.16,Soybeans,0.94,0.42
Canada,1437.16,Nuts inc. Peanut Butter,8.01,14.18
Chile,1099.57,Pork,24.68,87.35
Chile,1099.57,Poultry,36.52,39.23
Chile,1099.57,Beef,23.86,736.2700000000001
Chile,1099.57,Lamb & Goat,0.42,14.71
Chile,1099.57,Fish,7.649999999999999,12.21
Chile,1099.57,Eggs,9.97,9.16
Chile,1099.57,Milk - inc. cheese,116.11,165.39
