country,food_category,consumption,co2_emmission,category
France,Wheat and Wheat Products,108.43,20.68,Non-Animal Products
France,Rice,4.88,6.24,Non-Animal Products
France,Soybeans,0.05,0.02,Non-Animal Products
France,Nuts inc. Peanut Butter,5.39,9.54,Non-Animal Products
Canada,Pork,22.81,80.74000000000001,Animal Products
Canada,Poultry,36.68,39.4,Animal Products
Canada,Beef,30.25,933.45,Animal Products
Canada,Lamb & Goat,0.97,33.97,Animal Products
Canada,Fish,14.56,23.25,Animal Products
Canada,Eggs,12.95,11.9,Animal Products
Canada,Milk - inc. cheese,187.77,267.46,Animal Products
Canada,Wheat and Wheat Products,84.96000000000001,16.2,Non-Animal Products
Canada,Rice,12.65,16.19,Non-Animal Products
Canada,Soybeans,0.94,0.42,Non-Animal Products
Canada,Nuts inc. Peanut Butter,8.01,14.18,Non-Animal Products
Norway,Pork,23.51,83.21000000000001,Animal Products
Norway,Poultry,21.01,22.57,Animal Products
Norway,Beef,19.83,611.91,Animal Products
Norway,Lamb & Goat,5.34,187.01,Animal Products
Norway,Fish,38.18,60.96,Animal Products
Norway,Eggs,11.41,10.48,Animal Products
Norway,Milk - inc. cheese,261.34000000000003,372.25,Animal Products
Norway,Wheat and Wheat Products,97.12,18.52,Non-Animal Products
Norway,Rice,4.359999999999999,5.58,Non-Animal Products
Norway,Soybeans,0.11,0.05,Non-Animal Products
Norway,Nuts inc. Peanut Butter,5.28,9.35,Non-Animal Products
Hong Kong SAR. China,Pork,67.11,237.54,Animal Products
Hong Kong SAR. China,Poultry,54.86,58.93,Animal Products
Hong Kong SAR. China,Beef,25.82,796.75,Animal Products
Hong Kong SAR. China,Lamb & Goat,2.22,77.74000000000001,Animal Products
Hong Kong SAR. China,Fish,42.44,67.76,Animal Products
Hong Kong SAR. China,Eggs,14.5,13.32,Animal Products
Hong Kong SAR. China,Milk - inc. cheese,105.85,150.76999999999998,Animal Products
Hong Kong SAR. China,Wheat and Wheat Products,53.14,10.13,Non-Animal Products
Hong Kong SAR. China,Rice,43.48,55.64,Non-Animal Products
Hong Kong SAR. China,Soybeans,2.79,1.26,Non-Animal Products
Hong Kong SAR. China,Nuts inc. Peanut Butter,13.81,24.44,Non-Animal Products
French Polynesia,Pork,14.75,52.21,Animal Products
French Polynesia,Poultry,49.55,53.23,Animal Products
French Polynesia,Beef,30.9,953.51,Animal Products
French Polynesia,Lamb & Goat,2.83,99.11,Animal Products
French Polynesia,Fish,38.95,62.190000000000005,Animal Products
French Polynesia,Eggs,8.75,8.04,Animal Products
French Polynesia,Milk - inc. cheese,93.56,133.26999999999998,Animal Products
French Polynesia,Wheat and Wheat Products,68.66999999999999,13.1,Non-Animal Products
French Polynesia,Rice,35.59,45.54,Non-Animal Products
French Polynesia,Soybeans,0.77,0.35,Non-Animal Products
French Polynesia,Nuts inc. Peanut Butter,2.34,4.14,Non-Animal Products
Israel,Pork,1.99,7.04,Animal Products
Israel,Poultry,62.5,67.14,Animal Products
Israel,Beef,28.78,888.09,Animal Products
Israel,Lamb & Goat,1.87,65.49000000000001,Animal Products
Israel,Fish,22.18,35.41,Animal Products
Israel,Eggs,11.35,10.43,Animal Products
Israel,Milk - inc. cheese,193.6,275.76,Animal Products
Israel,Wheat and Wheat Products,110.86,21.14,Non-Animal Products
Israel,Rice,16.810000000000002,21.51,Non-Animal Products
Israel,Soybeans,0.1,0.05,Non-Animal Products
Israel,Nuts inc. Peanut Butter,7.71,13.65,Non-Animal Products
Switzerland,Pork,31.49,111.46,Animal Products
Switzerland,Poultry,16.38,17.6,Animal Products
Switzerland,Beef,21.26,656.04,Animal Products
Switzerland,Lamb & Goat,1.42,49.73,Animal Products
Switzerland,Fish,13.48,21.52,Animal Products
Switzerland,Eggs,10.53,9.67,Animal Products
Switzerland,Milk - inc. cheese,318.69,453.94,Animal Products
Switzerland,Wheat and Wheat Products,89.51,17.07,Non-Animal Products
Switzerland,Rice,2.43,3.11,Non-Animal Products
Switzerland,Soybeans,0.44,0.2,Non-Animal Products
Switzerland,Nuts inc. Peanut Butter,9.27,16.41,Non-Animal Products
Netherlands,Pork,36.36,128.7,Animal Products
Netherlands,Poultry,23.9,25.67,Animal Products
Netherlands,Beef,17.67,545.26,Animal Products
Netherlands,Lamb & Goat,0.94,32.92,Animal Products
Netherlands,Fish,18.64,29.76,Animal Products
Netherlands,Eggs,14.03,12.89,Animal Products
Netherlands,Milk - inc. cheese,341.47,486.39,Animal Products
Netherlands,Wheat and Wheat Products,70.16999999999999,13.38,Non-Animal Products
Netherlands,Rice,2.93,3.75,Non-Animal Products
Netherlands,Soybeans,0.12,0.05,Non-Animal Products
Netherlands,Nuts inc. Peanut Butter,7.94,14.05,Non-Animal Products
Kuwait,Pork,0.0,0.0,Animal Products
Kuwait,Poultry,53.61,57.59,Animal Products
Kuwait,Beef,13.03,402.08,Animal Products
Kuwait,Lamb & Goat,15.61,546.66,Animal Products
Kuwait,Fish,11.99,19.14,Animal Products
Kuwait,Eggs,12.6,11.57,Animal Products
Kuwait,Milk - inc. cheese,157.66,224.57,Animal Products
Kuwait,Wheat and Wheat Products,96.76,18.45,Non-Animal Products
Kuwait,Rice,43.83,56.09,Non-Animal Products
Kuwait,Soybeans,0.06,0.03,Non-Animal Products
