country,food_category,consumption,co2_emission,category,co2_emission_category,co2_emission_all,co2_emission_animal,co2_emission_non_animals,co2_emission_range
Finland,Beef,19.22,593.09,Animal Products,1437.22,1464.63,1437.22,27.41,1000-1500
Finland,Lamb & Goat,0.53,18.56,Animal Products,1437.22,1464.63,1437.22,27.41,1000-1500
Finland,Fish,33.8,53.97,Animal Products,1437.22,1464.63,1437.22,27.41,1000-1500
Finland,Eggs,9.55,8.77,Animal Products,1437.22,1464.63,1437.22,27.41,1000-1500
Finland,Milk - inc. cheese,430.76,613.57,Animal Products,1437.22,1464.63,1437.22,27.41,1000-1500
Finland,Wheat and Wheat Products,81.99000000000001,15.64,Non-Animal Products,27.41,1464.63,1437.22,27.41,1000-1500
Finland,Rice,4.42,5.659999999999999,Non-Animal Products,27.41,1464.63,1437.22,27.41,1000-1500
Finland,Soybeans,0.08,0.04,Non-Animal Products,27.41,1464.63,1437.22,27.41,1000-1500
Finland,Nuts inc. Peanut Butter,3.43,6.07,Non-Animal Products,27.41,1464.63,1437.22,27.41,1000-1500
Ireland,Pork,32.4,114.68,Animal Products,1427.87,1459.67,1427.87,31.8,1000-1500
Ireland,Poultry,26.26,28.21,Animal Products,1427.87,1459.67,1427.87,31.8,1000-1500
Ireland,Beef,22.35,689.6700000000001,Animal Products,1427.87,1459.67,1427.87,31.8,1000-1500
Ireland,Lamb & Goat,4.1,143.58,Animal Products,1427.87,1459.67,1427.87,31.8,1000-1500
Ireland,Fish,17.39,27.77,Animal Products,1427.87,1459.67,1427.87,31.8,1000-1500
Ireland,Eggs,8.96,8.229999999999999,Animal Products,1427.87,1459.67,1427.87,31.8,1000-1500
Ireland,Milk - inc. cheese,291.86,415.73,Animal Products,1427.87,1459.67,1427.87,31.8,1000-1500
Ireland,Wheat and Wheat Products,107.98,20.59,Non-Animal Products,31.8,1459.67,1427.87,31.8,1000-1500
Ireland,Rice,3.0,3.84,Non-Animal Products,31.8,1459.67,1427.87,31.8,1000-1500
Ireland,Soybeans,0.25,0.11,Non-Animal Products,31.8,1459.67,1427.87,31.8,1000-1500
Ireland,Nuts inc. Peanut Butter,4.1,7.26,Non-Animal Products,31.8,1459.67,1427.87,31.8,1000-1500
Greece,Pork,28.31,100.2,Animal Products,1446.54,1497.29,1446.54,50.75,1000-1500
Greece,Poultry,15.739999999999998,16.91,Animal Products,1446.54,1497.29,1446.54,50.75,1000-1500
Greece,Beef,16.1,496.81,Animal Products,1446.54,1497.29,1446.54,50.75,1000-1500
Greece,Lamb & Goat,12.47,436.7,Animal Products,1446.54,1497.29,1446.54,50.75,1000-1500
Greece,Fish,14.42,23.02,Animal Products,1446.54,1497.29,1446.54,50.75,1000-1500
Greece,Eggs,10.13,9.31,Animal Products,1446.54,1497.29,1446.54,50.75,1000-1500
Greece,Milk - inc. cheese,255.26,363.59,Animal Products,1446.54,1497.29,1446.54,50.75,1000-1500
Greece,Wheat and Wheat Products,124.04,23.65,Non-Animal Products,50.75,1497.29,1446.54,50.75,1000-1500
Greece,Rice,6.64,8.5,Non-Animal Products,50.75,1497.29,1446.54,50.75,1000-1500
Greece,Soybeans,0.02,0.01,Non-Animal Products,50.75,1497.29,1446.54,50.75,1000-1500
Greece,Nuts inc. Peanut Butter,10.5,18.59,Non-Animal Products,50.75,1497.29,1446.54,50.75,1000-1500
France,Pork,33.05,116.98,Animal Products,1383.5700000000002,1420.05,1383.5700000000002,36.48,1000-1500
France,Poultry,22.93,24.630000000000003,Animal Products,1383.5700000000002,1420.05,1383.5700000000002,36.48,1000-1500
France,Beef,23.81,734.73,Animal Products,1383.5700000000002,1420.05,1383.5700000000002,36.48,1000-1500
France,Lamb & Goat,3.28,114.87,Animal Products,1383.5700000000002,1420.05,1383.5700000000002,36.48,1000-1500
France,Fish,22.91,36.58,Animal Products,1383.5700000000002,1420.05,1383.5700000000002,36.48,1000-1500
France,Eggs,13.13,12.06,Animal Products,1383.5700000000002,1420.05,1383.5700000000002,36.48,1000-1500
France,Milk - inc. cheese,241.31,343.72,Animal Products,1383.5700000000002,1420.05,1383.5700000000002,36.48,1000-1500
France,Wheat and Wheat Products,108.43,20.68,Non-Animal Products,36.48,1420.05,1383.5700000000002,36.48,1000-1500
France,Rice,4.88,6.24,Non-Animal Products,36.48,1420.05,1383.5700000000002,36.48,1000-1500
France,Soybeans,0.05,0.02,Non-Animal Products,36.48,1420.05,1383.5700000000002,36.48,1000-1500
France,Nuts inc. Peanut Butter,5.39,9.54,Non-Animal Products,36.48,1420.05,1383.5700000000002,36.48,1000-1500
Canada,Pork,22.81,80.74000000000001,Animal Products,1390.17,1437.16,1390.17,46.99,1000-1500
Canada,Poultry,36.68,39.4,Animal Products,1390.17,1437.16,1390.17,46.99,1000-1500
Canada,Beef,30.25,933.45,Animal Products,1390.17,1437.16,1390.17,46.99,1000-1500
Canada,Lamb & Goat,0.97,33.97,Animal Products,1390.17,1437.16,1390.17,46.99,1000-1500
Canada,Fish,14.56,23.25,Animal Products,1390.17,1437.16,1390.17,46.99,1000-1500
Canada,Eggs,12.95,11.9,Animal Products,1390.17,1437.16,1390.17,46.99,1000-1500
Canada,Milk - inc. cheese,187.77,267.46,Animal Products,1390.17,1437.16,1390.17,46.99,1000-1500
Canada,Wheat and Wheat Products,84.96000000000001,16.2,Non-Animal Products,46.99,1437.16,1390.17,46.99,1000-1500
Canada,Rice,12.65,16.19,Non-Animal Products,46.99,1437.16,1390.17,46.99,1000-1500
Canada,Soybeans,0.94,0.42,Non-Animal Products,46.99,1437.16,1390.17,46.99,1000-1500
Canada,Nuts inc. Peanut Butter,8.01,14.18,Non-Animal Products,46.99,1437.16,1390.17,46.99,1000-1500
Norway,Pork,23.51,83.21000000000001,Animal Products,1348.39,1381.89,1348.39,33.5,1000-1500
