country,co2_emmission_all,food_category_x,consumption,co2_emmission_x,food_category_y,co2_emmission_y
Australia,1938.66,Pork,24.14,85.44000000000001,Animal Products,1895.56
Australia,1938.66,Pork,24.14,85.44000000000001,Non-Animal Products,43.1
Australia,1938.66,Poultry,46.120000000000005,49.54,Animal Products,1895.56
Australia,1938.66,Poultry,46.120000000000005,49.54,Non-Animal Products,43.1
Australia,1938.66,Beef,33.86,1044.85,Animal Products,1895.56
Australia,1938.66,Beef,33.86,1044.85,Non-Animal Products,43.1
Australia,1938.66,Lamb & Goat,9.87,345.65000000000003,Animal Products,1895.56
Australia,1938.66,Lamb & Goat,9.87,345.65000000000003,Non-Animal Products,43.1
Australia,1938.66,Fish,17.69,28.25,Animal Products,1895.56
Australia,1938.66,Fish,17.69,28.25,Non-Animal Products,43.1
Australia,1938.66,Eggs,8.51,7.819999999999999,Animal Products,1895.56
Australia,1938.66,Eggs,8.51,7.819999999999999,Non-Animal Products,43.1
Australia,1938.66,Milk - inc. cheese,234.49,334.01,Animal Products,1895.56
Australia,1938.66,Milk - inc. cheese,234.49,334.01,Non-Animal Products,43.1
Australia,1938.66,Wheat and Wheat Products,70.46000000000001,13.44,Animal Products,1895.56
Australia,1938.66,Wheat and Wheat Products,70.46000000000001,13.44,Non-Animal Products,43.1
Australia,1938.66,Rice,11.03,14.12,Animal Products,1895.56
Australia,1938.66,Rice,11.03,14.12,Non-Animal Products,43.1
Australia,1938.66,Soybeans,0.19,0.09,Animal Products,1895.56
Australia,1938.66,Soybeans,0.19,0.09,Non-Animal Products,43.1
Australia,1938.66,Nuts inc. Peanut Butter,8.729999999999999,15.45,Animal Products,1895.56
Australia,1938.66,Nuts inc. Peanut Butter,8.729999999999999,15.45,Non-Animal Products,43.1
Austria,1211.16,Pork,52.56,186.04,Animal Products,1176.08
Austria,1211.16,Pork,52.56,186.04,Non-Animal Products,35.08
Austria,1211.16,Poultry,18.610000000000003,19.99,Animal Products,1176.08
Austria,1211.16,Poultry,18.610000000000003,19.99,Non-Animal Products,35.08
Austria,1211.16,Beef,17.14,528.9,Animal Products,1176.08
Austria,1211.16,Beef,17.14,528.9,Non-Animal Products,35.08
Austria,1211.16,Lamb & Goat,1.16,40.620000000000005,Animal Products,1176.08
Austria,1211.16,Lamb & Goat,1.16,40.620000000000005,Non-Animal Products,35.08
Austria,1211.16,Fish,12.16,19.42,Animal Products,1176.08
Austria,1211.16,Fish,12.16,19.42,Non-Animal Products,35.08
Austria,1211.16,Eggs,14.68,13.49,Animal Products,1176.08
Austria,1211.16,Eggs,14.68,13.49,Non-Animal Products,35.08
Austria,1211.16,Milk - inc. cheese,258.09,367.62,Animal Products,1176.08
Austria,1211.16,Milk - inc. cheese,258.09,367.62,Non-Animal Products,35.08
Austria,1211.16,Wheat and Wheat Products,81.1,15.47,Animal Products,1176.08
Austria,1211.16,Wheat and Wheat Products,81.1,15.47,Non-Animal Products,35.08
Austria,1211.16,Rice,3.7,4.73,Animal Products,1176.08
Austria,1211.16,Rice,3.7,4.73,Non-Animal Products,35.08
Austria,1211.16,Soybeans,2.06,0.93,Animal Products,1176.08
Austria,1211.16,Soybeans,2.06,0.93,Non-Animal Products,35.08
Austria,1211.16,Nuts inc. Peanut Butter,7.88,13.95,Animal Products,1176.08
Austria,1211.16,Nuts inc. Peanut Butter,7.88,13.95,Non-Animal Products,35.08
Bahamas,1192.9,Pork,32.74,115.88,Animal Products,1147.44
Bahamas,1192.9,Pork,32.74,115.88,Non-Animal Products,45.46
Bahamas,1192.9,Poultry,45.74,49.13,Animal Products,1147.44
Bahamas,1192.9,Poultry,45.74,49.13,Non-Animal Products,45.46
Bahamas,1192.9,Beef,19.92,614.69,Animal Products,1147.44
Bahamas,1192.9,Beef,19.92,614.69,Non-Animal Products,45.46
Bahamas,1192.9,Lamb & Goat,5.22,182.8,Animal Products,1147.44
Bahamas,1192.9,Lamb & Goat,5.22,182.8,Non-Animal Products,45.46
Bahamas,1192.9,Fish,18.8,30.02,Animal Products,1147.44
Bahamas,1192.9,Fish,18.8,30.02,Non-Animal Products,45.46
Bahamas,1192.9,Eggs,6.2,5.7,Animal Products,1147.44
Bahamas,1192.9,Eggs,6.2,5.7,Non-Animal Products,45.46
Bahamas,1192.9,Milk - inc. cheese,104.76,149.22,Animal Products,1147.44
Bahamas,1192.9,Milk - inc. cheese,104.76,149.22,Non-Animal Products,45.46
Bahamas,1192.9,Wheat and Wheat Products,39.98,7.619999999999999,Animal Products,1147.44
Bahamas,1192.9,Wheat and Wheat Products,39.98,7.619999999999999,Non-Animal Products,45.46
Bahamas,1192.9,Rice,23.97,30.67,Animal Products,1147.44
Bahamas,1192.9,Rice,23.97,30.67,Non-Animal Products,45.46
Bahamas,1192.9,Soybeans,0.09,0.04,Animal Products,1147.44
Bahamas,1192.9,Soybeans,0.09,0.04,Non-Animal Products,45.46
Bahamas,1192.9,Nuts inc. Peanut Butter,4.03,7.13,Animal Products,1147.44
Bahamas,1192.9,Nuts inc. Peanut Butter,4.03,7.13,Non-Animal Products,45.46
Bangladesh,374.18,Pork,0.0,0.0,Animal Products,149.55
Bangladesh,374.18,Pork,0.0,0.0,Non-Animal Products,224.63
Bangladesh,374.18,Poultry,1.4,1.5,Animal Products,149.55
